vegas,fanduel,basketball monsters,basketball reference,basketball reference abreviation,nba.com,basketball reference abreviation 2,basketball reference 2,nba.com nickname,city
atlanta,atl,atl,atlanta hawks ,atl,atl,atl,atlanta hawks,hawks,atlanta
boston,bos,bos,boston celtics ,bos,bos,bos,boston celtics,celtics,boston
brooklyn,bkn,bkn,brooklyn nets ,brk,bkn,brk,brooklyn nets,nets,brooklyn
charlotte,cha,cha,charlotte hornets,cha,cha,cho,charlotte hornets,hornets,charlotte
chicago,chi,chi,chicago bulls ,chi,chi,chi,chicago bulls,bulls,chicago
cleveland,cle,cle,cleveland cavaliers ,cle,cle,cle,cleveland cavaliers,cavaliers,cleveland
dallas,dal,dal,dallas mavericks ,dal,dal,dal,dallas mavericks,mavericks,dallas
denver,den,den,denver nuggets ,den,den,den,denver nuggets,nuggets,denver
detroit,det,det,detroit pistons ,det,det,det,detroit pistons,pistons,detroit
golden state,gs,gsw,golden state warriors ,gsw,gsw,gsw,golden state warriors,warriors,golden state
houston,hou,hou,houston rockets ,hou,hou,hou,houston rockets,rockets,houston
indiana,ind,ind,indiana pacers ,ind,ind,ind,indiana pacers,pacers,indiana
l.a. clippers,lac,lac,los angeles clippers ,lac,lac,lac,los angeles clippers,clippers,los angeles
l.a. lakers,lal,lal,los angeles lakers ,lal,lal,lal,los angeles lakers,lakers,los angeles
memphis,mem,mem,memphis grizzlies ,mem,mem,mem,memphis grizzlies,grizzlies,memphis
miami,mia,mia,miami heat ,mia,mia,mia,miami heat,heat,miami
milwaukee,mil,mil,milwaukee bucks ,mil,mil,mil,milwaukee bucks,bucks,milwaukee
minnesota,min,min,minnesota timberwolves ,min,min,min,minnesota timberwolves,timberwolves,minnesota
new orleans,no,nor,new orleans pelicans ,nop,nop,nop,new orleans pelicans,pelicans,new orleans
new york,ny,nyk,new york knicks ,nyk,nyk,nyk,new york knicks,knicks,new york
oklahoma city,okc,okc,oklahoma city thunder ,okc,okc,okc,oklahoma city thunder,thunder,oklahoma city
orlando,orl,orl,orlando magic ,orl,orl,orl,orlando magic,magic,orlando
philadelphia,phi,phi,philadelphia 76ers ,phi,phi,phi,philadelphia 76ers,76ers,philadelphia
phoenix,pho,pho,phoenix suns ,pho,phx,pho,phoenix suns,suns,phoenix
portland,por,por,portland trail blazers ,por,por,por,portland trail blazers,trail blazers,portland
sacramento,sac,sac,sacramento kings ,sac,sac,sac,sacramento kings,kings,sacramento
san antonio,sa,sas,san antonio spurs ,sas,sas,sas,san antonio spurs,spurs,san antonio
toronto,tor,tor,toronto raptors ,tor,tor,tor,toronto raptors,raptors,toronto
utah,uta,uta,utah jazz ,uta,uta,uta,utah jazz,jazz,utah
washington,was,was,washington wizards ,was,was,was,washington wizards,wizards,washington